Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Mexican,4.1,1624,2000
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,  European,4.1,1624,2000
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Oriental ,4.1,1624,2000
Route 04,"Connaught Place, Central Delhi", Central Delhi,Delhi,Finger Food,4.2,388,2000
Route 04,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.2,388,2000
Route 04,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.2,388,2000
Route 04,"Connaught Place, Central Delhi", Central Delhi,Delhi,  American,4.2,388,2000
Route 04,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Tex Mex,4.2,388,2000
Kwality Restaurant,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.5,416,2000
Kwality Restaurant,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.5,416,2000
Castle Barbeque,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,3.5,101,2000
Castle Barbeque,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,3.5,101,2000
Teddy Boy,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,1753,2000
Teddy Boy,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.2,1753,2000
Teddy Boy,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.2,1753,2000
Teddy Boy,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,4.2,1753,2000
Tamra,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.4,491,4000
Tamra,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,  North Indian,4.4,491,4000
Tamra,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,  Japanese,4.4,491,4000
Tamra,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,  European,4.4,491,4000
Tamra,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,  Oriental ,4.4,491,4000
Cafe Delhi Heights,"Janpath, Central Delhi", Central Delhi,Delhi,Modern Indian,4.4,776,2000
Cafe Delhi Heights,"Janpath, Central Delhi", Central Delhi,Delhi,  Italian,4.4,776,2000
Cafe Delhi Heights,"Janpath, Central Delhi", Central Delhi,Delhi,  Continental,4.4,776,2000
Cafe Delhi Heights,"Janpath, Central Delhi", Central Delhi,Delhi,  American,4.4,776,2000
The Imperial Spice,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.4,500,2800
The Imperial Spice,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.4,500,2800
The Imperial Spice,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.4,500,2800
The Imperial Spice,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.4,500,2800
The Imperial Spice,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  European,4.4,500,2800
The Imperial Spice,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Oriental ,4.4,500,2800
Informal By Imperfecto,"Janpath, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.1,1634,2400
Informal By Imperfecto,"Janpath, Central Delhi", Central Delhi,Delhi,  Italian,4.1,1634,2400
Informal By Imperfecto,"Janpath, Central Delhi", Central Delhi,Delhi,  Continental,4.1,1634,2400
Informal By Imperfecto,"Janpath, Central Delhi", Central Delhi,Delhi,  Thai,4.1,1634,2400
Informal By Imperfecto,"Janpath, Central Delhi", Central Delhi,Delhi,  Oriental ,4.1,1634,2400
Boa Village,"The Exchange Store Building,Civil Lines, North Delhi", North Delhi,Delhi,Asian,4.4,4265,2000
Boa Village,"The Exchange Store Building,Civil Lines, North Delhi", North Delhi,Delhi,  Chinese,4.4,4265,2000
Boa Village,"The Exchange Store Building,Civil Lines, North Delhi", North Delhi,Delhi,  Japanese,4.4,4265,2000
Boa Village,"The Exchange Store Building,Civil Lines, North Delhi", North Delhi,Delhi,  Korean,4.4,4265,2000
Cafe MRP,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,1534,1400
Cafe MRP,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.2,1534,1400
Cafe MRP,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Oriental ,4.2,1534,1400
Caffe Tonino,"PVR Plaza,Connaught Place, Central Delhi", Central Delhi,Delhi,Italian,4.5,826,2000
Desi Vibes,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,881,2200
Desi Vibes,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Mughlai,4.2,881,2200
Cafe High5,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,3.9,310,1800
Cafe High5,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,3.9,310,1800
Cafe High5,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,3.9,310,1800
Cafe High5,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Oriental ,3.9,310,1800
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,Continental,4.1,1269,2000
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,  Finger Food,4.1,1269,2000
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.1,1269,2000
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.1,1269,2000
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,  Mediterranean,4.1,1269,2000
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,  European,4.1,1269,2000
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,  Asian,4.1,1269,2000
TEO - Lounge & Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,North Indian,3.9,1098,1200
TEO - Lounge & Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,  Oriental ,3.9,1098,1200
TEO - Lounge & Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,  Italian,3.9,1098,1200
Connaught Clubhouse,"Janpath, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.2,117,2500
Connaught Clubhouse,"Janpath, Central Delhi", Central Delhi,Delhi,  Italian,4.2,117,2500
Connaught Clubhouse,"Janpath, Central Delhi", Central Delhi,Delhi,  Mexican,4.2,117,2500
Connaught Clubhouse,"Janpath, Central Delhi", Central Delhi,Delhi,  Asian,4.2,117,2500
Cafe Hawkers,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,712,1200
Cafe Hawkers,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.3,712,1200
Cafe Hawkers,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Fast Food,4.3,712,1200
Dhaba Estd 1986 Delhi,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,50,1200
My Bar Headquarters,"Connaught Place, Central Delhi", Central Delhi,Delhi,Finger Food,4.1,2503,1500
My Bar Headquarters,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.1,2503,1500
